seq_id,ct10_id,hh10,quarter,veh_tot,pass_veh,ovrlp_pct,best_geo,veh_phh,mipday_phh,veh_lo,veh_medlo,veh_medhi,veh_hi,veh_vhi,comm_veh,mipdaypass,mipdaybest,mipdaycomm,mipdaytot,pass_vmt,comm_vmt,tot_vmt,passvehage,mpg_eff,glpdaypass,co2eqv_day,co2eqv_hh,pass_hybrd,comm_hybrd,tot_hybrd,pass_elect,comm_elect,tot_elect
34059,25003900700,1192,2014_q4,2438.7292,2327.1888,0.3325,638,1.95,50.8067,1280,212,173,142,58,111.5404,26.0547,26.4286,25.0922,26.0228,60634.206,2798.794,63462.5622,9.19,20.7971,2915.519,26.4025,0.0221,22,2,24,0,0,0
34060,25003900800,2060,2014_q4,4585.9292,4357.9275,0.3691,1351,2.12,54.2805,2331,392,382,276,96,228.0017,25.604,25.6435,37.4527,26.0638,111580.3757,8539.2793,119526.7415,8.28,21.0606,5298.0539,47.9783,0.0233,94,0,94,1,0,1
34061,25003900900,2325,2014_q4,3296.9911,3185.4507,0.3592,936,1.37,35.1524,1741,318,262,189,67,111.5404,25.6587,25.8962,28.6954,25.707,81734.5239,3200.6964,84755.7502,9.03,21.5398,3794.5753,34.3631,0.0148,56,0,56,0,0,0
34062,25003901100,1647,2014_q4,3015.938,2822.3826,0.3714,862,1.71,39.0802,1628,271,208,134,58,193.5554,22.8539,22.8802,28.1211,23.1023,64502.4497,5442.9908,69675.1045,8.68,20.7512,3108.3683,28.1489,0.0171,17,0,17,1,0,1
34063,25003911100,1291,2014_q4,2919.9046,2715.9054,0.3225,713,2.1,55.7668,1476,203,219,181,65,203.9992,26.5556,27.0386,14.7872,26.2671,72122.4974,3016.577,76697.4261,9.32,19.8441,3634.4502,32.913,0.0255,37,0,37,0,0,0
34064,25003912100,2737,2014_q4,5424.057,5174.0562,0.3544,1607,1.89,47.9259,3000,502,447,357,108,250.0008,25.3576,25.4305,27.7015,25.3939,131201.6475,6925.3972,137737.9611,8.85,20.8327,6297.8678,57.0325,0.0208,83,0,83,0,0,0
34065,25003913100,2283,2014_q4,4161.0378,3909.0378,0.3688,1029,1.71,48.4554,1711,311,292,264,119,252,28.3365,28.4724,24.6901,28.2618,110768.4496,6221.9052,117598.4181,8.47,21.5371,5143.1365,46.5754,0.0204,96,2,98,1,0,1
34066,25003914100,2560,2014_q4,5049.8865,4757.886,0.3607,1392,1.86,53.4875,2507,393,407,398,172,292.0005,28.7567,28.792,37.8008,29.0745,136821.1003,11037.8525,146822.925,9.02,20.595,6643.4295,60.1618,0.0235,61,1,62,0,0,0
34067,25003920101,1604,2014_q4,2693.5682,2551.1332,0.3412,784,1.59,45.7033,1410,218,217,230,90,142.435,28.7442,28.9113,19.8911,28.2179,73330.2829,2833.1888,76006.8381,8.52,22.0399,3327.1594,30.1302,0.0188,107,3,110,0,2,2
34068,25003920102,938,2014_q4,1763.3471,1675.7846,0.3417,514,1.79,49.7063,904,147,136,149,53,87.5625,27.7689,28.1018,31.2298,27.9207,46534.695,2734.5594,49233.8854,8.24,21.8924,2125.6074,19.2492,0.0205,78,0,78,1,0,1
34069,25003921300,2029,2014_q4,2596.3077,2569.3833,0.3496,786,1.27,35.4922,1457,240,224,205,81,26.9244,27.9466,28.0333,12.8125,27.8413,71805.5273,344.9689,72284.5816,9.74,20.7737,3456.5618,31.3021,0.0154,28,0,28,0,0,0
34070,25003921400,770,2014_q4,1177.1479,1098.6184,0.35,340,1.43,35.7972,667,98,76,74,27,78.5295,25.033,24.8471,57.732,25.8804,27501.7144,4533.6651,30465.0585,10.53,20.3521,1351.2943,12.2371,0.0159,8,0,8,0,0,0
34071,25003921500,1346,2014_q4,2259.6005,2187.8021,0.338,640,1.63,40.7702,1254,198,165,138,55,71.7984,25.0124,25.086,36.7741,25.2091,54722.1812,2640.3215,56962.495,9.37,20.5065,2668.5264,24.1657,0.018,20,0,20,0,0,0
34072,25003922100,1339,2014_q4,1891.814,1844.935,0.3482,552,1.38,36.7331,1075,154,165,137,52,46.879,26.6182,26.4845,45.149,27.0688,49108.8488,2116.54,51209.1348,9.79,20.3231,2416.4052,21.8826,0.0163,16,0,16,0,0,0
